职位,公司名,地点,薪酬,发布时间
医学编辑,《中国医药导报》杂志社,北京-朝阳区,0.6-1万/月,11-09
宏观研究员,上海秋晟资产管理有限公司,上海-静安区,0.8-1万/月,11-09
有色金属研究员,神华期货有限公司,深圳,0.7-1.2万/月,11-09
收益经理(财务),驴妈妈旅游网,上海-普陀区,0.8-1.5万/月,11-09
软件产品经理,一飞软件科技（上海）有限公司,上海-虹口区,2-2.5万/月,11-09
母婴健康平台产品经理,上海慧岸企业发展有限公司,上海,1.5-2万/月,11-09
消费行业研究员,诺德基金管理有限公司,上海-浦东新区,1.2-1.8万/月,11-08
场外期权风控岗,北大方正物产集团有限公司,上海-浦东新区,1-1.2万/月,11-08
分析员-投行业务,上海星控资产管理有限公司,上海-徐汇区,10-15万/年,11-08
量化对冲基金经理,浙江野风资产管理有限公司,北京-西城区,1.5-2万/月,11-08
研究型销售（TMT、机械、环保等行业研究方向）,财通证券股份有限公司,杭州-西湖区,1-1.5万/月,11-08
销售经理助理,西部利得基金管理有限公司,上海-浦东新区,10-20万/年,11-08
期权策略研究员,上海微投股权投资基金管理有限公司,上海-浦东新区,3-4万/月,11-08
多传感器融合算法工程师-NTD,北京四维图新科技股份有限公司,北京-海淀区,1.5-2.5万/月,11-08
安全专家,广州虎牙信息科技有限公司,广州-番禺区,3-5万/月,11-08
副总编,《中国校外教育》杂志社有限公司,北京-西城区,0.7-1万/月,11-08
总公司-资产管理中心-研究员,中英人寿保险有限公司,北京,,11-08
研究人员(广东省金融智库联合会),广东省小额贷款公司协会,广州-越秀区,6-8千/月,11-08
东证期货-资管投资经理助理,上海东证期货有限公司,上海-黄浦区,0.6-1.2万/月,11-08
助理研究员,深圳前海凯岩资产管理有限公司,深圳-福田区,6-8千/月,11-08
投资经理/行业研究员,杭州嘉楠耘智信息科技有限公司,杭州-江干区,1.5-3万/月,11-07
互联网营销策划高级经理,华金证券股份有限公司,上海-浦东新区,1.5-2万/月,11-07
国企出版社-----责任编辑,人民东方（北京）书业有限公司,北京-东城区,0.8-1万/月,11-07
VIP财富规划师,北京源石创世财富资产管理有限公司,北京-朝阳区,4-5万/月,11-07
风险模型经理,深圳云科谷信息服务有限公司,上海-浦东新区,2.5-4万/月,11-07
行业研究岗（补招2018届）,安信证券股份有限公司,深圳,0.8-1万/月,11-07
NLP算法工程师,新译信息科技（深圳）有限公司,深圳-南山区,1.5-2.5万/月,11-07
债券研究员,东方金诚国际信用评估有限公司,北京,0.8-1万/月,11-07
数据模型师（校园招聘）,深圳市赢众通金融信息服务有限责任公司,上海-虹口区,0.9-1.7万/月,11-07
数据分析实习生,上海前隆信息科技有限公司,上海,220元/天,11-07
IB服务支持岗,华泰期货有限公司,深圳-福田区,1-1.5万/月,11-07
高级数据分析,好买财富管理股份有限公司,上海,2-2.5万/月,11-07
资深业务咨询顾问（上海）,上海中汇亿达金融信息技术有限公司,上海-浦东新区,15-35万/年,11-07
理财师,长安国际信托股份有限公司,广州,,11-06
医学编辑,北京科技报社,北京-朝阳区,0.6-1万/月,11-06
基金经理助理/研究员,易知（北京）投资有限责任公司,北京-西城区,0.7-3万/月,11-06
董事会事务岗,五矿证券有限公司,深圳,0.8-1.2万/月,11-06
法务、高级投资经理,深圳市昆石投资有限公司,深圳-南山区,1.5-2.5万/月,11-06
投资研究部研究员,广州金骏投资控股有限公司,广州-天河区,2.5-3万/月,11-06
产品经理,华宝基金管理有限公司,上海-浦东新区,1-1.5万/月,11-06
基金研究员（商品/金融衍生品配置研究方向）,上海亿衡投资管理有限公司,上海-浦东新区,1-1.5万/月,11-06
高级量化策略专家,杭州奥昇数据科技有限公司,异地招聘,40-50万/年,11-05
FOF基金投资经理,深圳前海川谷信息技术有限公司,北京-朝阳区,1.5-3万/月,11-05
策略开发工程师,上海龙龟投资管理有限公司,上海-浦东新区,1-1.5万/月,11-05
高级投资经理,江西巨网科技有限公司上海分公司,上海,2.5-3.5万/月,11-05
交易清算团队清算岗,中银国际证券股份有限公司,上海-浦东新区,0.7-1万/月,11-05
研究员,北京融城教育咨询有限公司,北京-西城区,1-2万/月,11-05
数据挖掘工程师,深圳市随手科技有限公司,深圳-南山区,1-2万/月,11-05
信托实习生,中原信托有限公司,广州,,11-05
基金研究总监,上海联泰资产管理有限公司,上海-长宁区,2.5-5万/月,11-05
REITs事业部总经理,汇力（北京）投资基金管理有限公司,北京-朝阳区,35-60万/年,11-05
公司业务经理,长江证券股份有限公司上海福州路证券营业部,上海-黄浦区,0.8-1万/月,11-05
首席数据官,北京国信达数据技术有限公司,北京-东城区,4-5万/月,11-05
私募基金研究员,格上财富,北京,0.8-1万/月,11-05
助理量化投资经理,天演资本,上海-浦东新区,50-100万/年,11-05
FOF投资经理/基金经理,前海企加速孵化器（深圳）有限公司,深圳,0.8-3万/月,11-05
业务支持岗,太平投资控股有限公司,北京-西城区,30-40万/年,11-05
高级研究员(旅游),上海大游网络科技有限公司,上海-静安区,1-2万/月,11-03
风控助理,上海国鑫投资发展有限公司,上海-徐汇区,15-20万/年,11-03
资产管理资深经理,上海国际创投股权投资基金管理有限公司,上海-杨浦区,1.5-2.5万/月,11-03
资产管理部信用评级岗,长城证券股份有限公司,深圳-福田区,1.5-2万/月,11-03
信用/转债研究员,深圳市凯丰投资管理有限公司,深圳-福田区,3-4万/月,11-02
西班牙语编辑,外语教学与研究出版社,北京,0.8-1万/月,11-02
深度学习工程师,北京四维智联科技有限公司,北京-海淀区,1.2-2万/月,11-02
产品经理（质量方向）,宽凳（北京）科技有限公司,北京-朝阳区,1.8-3.5万/月,11-02
投资执行董事/董事总经理——矿业,上海复星高科技（集团）有限公司,异地招聘,7-10万/月,11-02
实习人员,郑州商品交易所期货及衍生品研究所有限公司,异地招聘,1.6-3千/月,11-02
研究员,东兴期货有限责任公司,上海-虹口区,6-9千/月,11-02
行业分析师,深圳市铸成投资有限责任公司,深圳-福田区,20-30万/年,11-01
投资总监,浙江万安投资管理有限公司,杭州-江干区,20-40万/年,11-01
投资者教育推广、策划专员,中邮创业基金管理股份有限公司,北京-东城区,1-1.5万/月,11-01
数据算法工程师,上海比领网络科技有限公司,上海-徐汇区,1.5-2.2万/月,11-01
证券投资研究员,深圳麦高控股股份有限公司,深圳-福田区,1-1.5万/月,10-31
固定收益事业部投资总监,恒创控股集团有限公司,深圳-福田区,5-10万/月,10-31
PE投资总监,上海中屹投资有限公司,上海,2-3.5万/月,10-31
行业研究主管（成都）,深圳一支神笔企业管理咨询有限责任公司,异地招聘,0.7-1.1万/月,10-31
综合交易部-交易员助理,中电投先融（上海）资产管理有限公司,上海-黄浦区,10-20万/年,10-31
证券投资中心市场总监,深圳前海新富资本管理集团有限公司,深圳-福田区,2-3万/月,10-31
（上海海通资源管理有限公司）交易员,海通期货股份有限公司,上海-浦东新区,6-8千/月,10-31
国际峰会策划（管培生项目）,上海士研管理咨询有限公司,上海,0.8-1万/月,10-31
图像视频视觉算法技术总监,杭州商圈网络技术有限公司,杭州-西湖区,2.5-3万/月,10-31
文案策划,深圳市厚德世家科技有限公司,深圳-光明新区,6-8千/月,10-30
金融风控数学建模（统计/数学方向）,美国道富,杭州,0.8-1.2万/月,10-30
学术研究助理,北京苇草智酷科技文化有限公司,北京-海淀区,8-12万/年,10-30
数据科学家,上海氪信信息技术有限公司,上海-黄浦区,1.5-3万/月,10-30
能源化工研究员,上海中财期货有限公司,上海-浦东新区,0.7-1万/月,10-30
英语编辑,上海立轩文化传播有限公司,上海-普陀区,8-10万/年,10-30
投促基金投资经理,杭州和达金融服务有限公司,杭州-江干区,19-22万/年,10-30
投资助理/经理助理,国泰元鑫资产管理有限公司,北京-朝阳区,18-30万/年,10-30
新媒体主管,宁波尖端网络科技有限公司,杭州,0.8-1.6万/月,10-30
互联网保险系统测试运维岗位,中国人民健康保险股份有限公司深圳分公司,异地招聘,1-1.5万/月,10-30
投资经理（IC）,中国中投证券有限责任公司,北京-海淀区,10-30万/年,10-30
Data Scientist,Green Dot Corporation,上海-浦东新区,1.5-2万/月,10-29
高级行业研究员,永辉超市股份有限公司,上海-静安区,4-5万/月,10-29
董事长助理,上海小村资产管理有限公司,上海-浦东新区,1.5-2万/月,10-29
财富顾问（广州番禺万达广场营业部）,招商证券股份有限公司广州天河北路证券营业部,广州-番禺区,1-1.5万/月,10-29
行业研究,北京智德盛投资顾问有限公司,北京,6-8千/月,10-29
经济研究员,广州市天则区域发展研究中心,广州-天河区,6-8千/月,10-29
产品总监,达达-京东到家,上海-杨浦区,3-6万/月,10-28
增值服务设计岗,国盛证券有限责任公司,深圳-福田区,30-40万/年,10-28
数学编辑,北京世纪高教图书有限公司,北京-海淀区,2-2.5万/月,10-28
社科项目编辑培训生,华东理工大学出版社有限公司,上海,10-15万/年,10-28
信托业务部实习生,云南国际信托有限公司,上海,120元/天,10-28
量化研究员,上海领益资产管理有限公司,上海-浦东新区,1.5-2万/月,10-27
融资租赁经理（财务背景）,上海易懋企业管理有限公司,上海,1-1.5万/月,10-26
PTA/橡胶（中级/高级）研究员,中电投先融期货股份有限公司,上海,4-6千/月,10-26
投资经理（法律背景）,名微控股集团（上海）有限公司,上海-浦东新区,1.5-2万/月,10-26
投资总监,广东碧桂园资产管理有限公司,深圳,5-7万/月,10-26
高级数据分析师,进化时代科技（北京）有限责任公司,北京-海淀区,2.5-5万/月,10-26
数据分析师,乾康（上海）金融信息服务股份有限公司,上海,1.5-2.5万/月,10-26
图书编辑,中国社会科学出版社,北京-西城区,6-8千/月,10-26
产品经理（风控）,广东瑞银融资租赁有限公司,广州-黄埔区,1-1.5万/月,10-26
政府关系-政策分析#1380,美团点评,北京,2-2.5万/月,10-25
测试开发实习生-服务体验平台,美团点评,上海-长宁区,4-8千/月,10-25
儿童科学教育平台内容编辑,作业盒子,北京-朝阳区,0.8-1.5万/月,10-25
高级风控建模师,杭州金运数据科技有限公司,杭州-滨江区,1.5-2.5万/月,10-25
资管条线-股票策略及可转债研究,联储证券有限责任公司,北京-朝阳区,1.2-2万/月,10-24
医药行业研究员,湘财证券股份有限公司,上海-浦东新区,1-2万/月,10-24
初级数据挖掘工程师,北京简单科技有限公司（简单学习网）,北京,1-2万/月,10-24
用户数据营运官,杭州风雪户外用品股份有限公司,杭州-拱墅区,1-1.5万/月,10-24
原油化工品种研发市场开发,宏源期货有限公司,北京-东城区,1-1.5万/月,10-24
金融数据专家-杭州（应用发展部）,恒生电子股份有限公司,杭州-滨江区,2-2.5万/月,10-23
管培生-推广方向,深圳市环球易购电子商务有限公司,深圳,,10-23
量化策略研究员,上海澜熙资产管理有限公司,上海-浦东新区,1.3-1.5万/月,10-23
投资分析师(000693),上海基分文化传播有限公司,上海-浦东新区,1.5-2.5万/月,10-23
数据部门经理,上海天籍信息科技有限公司,上海,1-1.5万/月,10-23
农产品期货研究员,美尔雅期货有限公司,北京-朝阳区,4.5-6千/月,10-23
学术编辑,《中华医学杂志》社有限责任公司,北京-东城区,1-1.5万/月,10-23
产品管培生(J11158),深圳依时货拉拉科技有限公司,深圳-福田区,0.6-1.3万/月,10-23
量化投资经理/策略师,上海系数股权投资基金管理合伙企业（有限合伙）,上海-浦东新区,3-4万/月,10-23
投资分析师（实习）,上海从容投资管理有限公司,上海-浦东新区,4.5-6千/月,10-23
Bloomberg商业周刊中文版-记者,现代传播集团,北京-朝阳区,10-15万/年,10-22
供应链金融经理,武汉链享医药供应链管理有限公司,北京-西城区,2.5-3万/月,10-22
承做,中天国富证券有限公司,广州,1.5-2万/月,10-22
输入法算法工程师,广州智品网络科技有限公司,广州-天河区,2-3.2万/月,10-22
商业分析总监,北京每日优鲜便利购电子商务有限公司,上海-静安区,3.5-5万/月,10-22
大数据算法工程师,京东集团总部,北京-朝阳区,3-5万/月,10-22
公关经理,北京雅乐美森科技有限公司,北京-海淀区,1-2万/月,10-22
科技金融部投资经理,上海科技创业投资（集团）有限公司,上海-徐汇区,0.8-1.5万/月,10-22
风险政策岗,中国光大银行信用卡中心,北京,,10-22
结构化金融部项目助理（法律方向）,东方证券股份有限公司,上海-黄浦区,1-1.5万/月,10-22
投资银行部负责人,江苏云彩时代投资集团有限公司,上海-黄浦区,2-3万/月,10-22
风控经理,上海鑫桥大通投资管理有限公司,上海-浦东新区,0.7-1.5万/月,10-21
综合文字岗,中国金融期货交易所股份有限公司,上海-浦东新区,15-20万/年,10-21
量化分析师,上海易善资产管理有限公司,上海-浦东新区,0.7-1万/月,10-20
高级咨询师/项目经理,深圳德盈企业管理咨询有限公司,深圳,20-30万/年,10-20
英语编辑（龙门书局）,中国科技出版传媒股份有限公司,北京,7.5-8.5千/月,10-20
金融分析师,新浪时金（上海）信息技术有限公司,上海-浦东新区,1-2万/月,10-20
责任编辑/主编,北京雷速科技有限公司,北京,6-8千/月,10-19
机构业务岗,兴银基金管理有限责任公司,上海,1-1.5万/月,10-19
宏观策略分析师,深圳众禄基金销售股份有限公司,深圳,1.5-3万/月,10-19
投行高级经理,上海朝希投资管理有限公司,上海-长宁区,,10-18
自然语言处理工程师,任子行网络技术股份有限公司,深圳-南山区,1.5-3万/月,10-18
投资总监（高端制造方向）,中联投控股股份有限公司,上海-徐汇区,30-50万/年,10-18
高级权益投资经理,百年保险资产管理有限责任公司,上海-浦东新区,2-4万/月,10-17
研究主管,深圳新百信控股有限公司,深圳-福田区,2-3.5万/月,10-17
证券分析师助理,上海六耳金融信息服务有限公司,上海-闵行区,1.5-2千/月,11-15
风险管理总经理,上海东正汽车金融股份有限公司,上海,100万以上/年,11-15
产品经理（实习可留用）,东海基金管理有限责任公司,上海-浦东新区,2-3千/月,11-15
产品经理（实习生）-杭州-00678 (MJ000557),挖财网络技术有限公司,杭州-西湖区,1.5-2.5千/月,11-15
公司业务高级经理,长江证券股份有限公司上海威海路证券营业部,上海-静安区,1.5-2千/月,11-12
高级投资顾问,北京复奇管理咨询有限公司,北京-海淀区,2-3千/月,10-29
数据管理部-数据挖掘岗,阳光人寿保险股份有限公司,北京-朝阳区,1.2-2万/月,11-15
投资助理实习生（应届）,国华人寿保险股份有限公司,上海-浦东新区,1.5-2千/月,11-15
医药行业研究员,国元国际控股有限公司,异地招聘,1-3万/月,11-15
高级投资经理,融捷投资控股集团有限公司,广州-天河区,1.5-2万/月,11-15
华泰人寿总公司-资产管理助理(004830),华泰人寿保险股份有限公司,北京,0.6-1万/月,11-15
期货高级研究员,平安证券股份有限公司,深圳-福田区,1-1.5万/月,11-15
账户经理岗,平安养老保险股份有限公司,北京,0.9-1.5万/月,11-15
22110F-债券交易员,平安基金管理有限公司,深圳-福田区,1.5千以下/月,11-15
3211A2-AI专家,"中国平安保险（集团）股份有限公司 Ping An Insurance (Group) Company Of China, Ltd.",上海-徐汇区,4-5万/月,11-15
0211M0-策略研究经理,中国平安人寿保险股份有限公司,上海-浦东新区,30-40万/年,11-12
数据精算经理,国泰财产保险有限责任公司,上海-浦东新区,2.5-3.5万/月,11-12
资产配置研究员,交银康联人寿保险有限公司,上海-浦东新区,1-1.8万/月,10-31
高级量化平台开发工程师,上海数旦信息技术有限公司,上海-徐汇区,2-3万/月,11-15
资深量化研究员,上海数旦信息技术有限公司,上海-徐汇区,3-5万/月,11-15
行业研究员,上海茂典资产管理有限公司,上海,0.8-1万/月,11-15
风控法务经理,同美企业管理集团有限公司,北京-朝阳区,2-2.5万/月,11-15
高级医学编辑,北京医美讯医药信息咨询有限公司,北京-朝阳区,1-1.5万/月,11-15
资产管理部机构销售岗高级经理,东亚前海证券有限责任公司,北京-东城区,25-50万/年,11-15
资产管理部机构销售岗高级经理,东亚前海证券有限责任公司,上海-浦东新区,25-50万/年,11-15
资产管理部机构销售岗高级经理,东亚前海证券有限责任公司,深圳-福田区,25-50万/年,11-15
资产管理部渠道销售岗高级经理,东亚前海证券有限责任公司,北京-东城区,25-50万/年,11-15
资产管理部渠道销售岗高级经理,东亚前海证券有限责任公司,上海-浦东新区,25-50万/年,11-15
资产管理部渠道销售岗高级经理,东亚前海证券有限责任公司,深圳-福田区,25-50万/年,11-15
大数据科学家,银联智惠信息服务（上海）有限公司,上海-浦东新区,3-4万/月,11-15
资深医学编辑,上海东闻文化传媒有限公司,上海-浦东新区,0.8-1万/月,11-15
经管图书编辑,北京华章图文信息有限公司（机械工业出版社华章公司）,北京-西城区,5-8千/月,11-15
大金融行业研究员,东亚前海证券有限责任公司,异地招聘,20-30万/年,11-15
信托业务部团队长,西部信托有限公司,杭州,,11-15
财富管理中心高级客户经理,西部信托有限公司,上海,,11-15
财富管理中心高级客户经理,西部信托有限公司,杭州,,11-15
家用电器行业研究岗-研究所,西藏东方财富证券股份有限公司,上海-徐汇区,1.5-2万/月,11-15
研投中心金融期货研究员（国债方向）,建信期货有限责任公司,上海-浦东新区,10-15万/年,11-15
研投中心行业研究员,建信期货有限责任公司,上海-浦东新区,10-15万/年,11-15
资深行业研究员,建信期货有限责任公司,上海-浦东新区,15-20万/年,11-15
数据分析师,深圳前海中移华捷投资管理有限公司,深圳-福田区,1-2万/月,11-15
投行部经理,上海淳实资产管理有限公司,上海-静安区,0.8-1.5万/月,11-15
A股行业研究岗--研究所,西藏东方财富证券股份有限公司,上海-徐汇区,1-1.5万/月,11-15
AliJapan-天猫国际-设计师,阿里巴巴集团,杭州,,11-15
高级投资经理,浙江华海投资管理有限公司,上海-浦东新区,1.5-5万/月,11-15
基本面研究员（金融研究中心）,杭州同花顺数据开发有限公司,异地招聘,1.5-3万/月,11-15
高级行业研究员（金融研究中心）,杭州同花顺数据开发有限公司,异地招聘,1.5-3万/月,11-15
宏观研究员（金融研究中心）,杭州同花顺数据开发有限公司,异地招聘,1.5-3万/月,11-15
会议产品研发策划,希迈商务咨询（上海）有限公司,上海-浦东新区,0.8-1.5万/月,11-15
稽查与案件调查岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
综合管理岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
新闻舆情岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
产品研究岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
交易管理岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
国际交流与合作岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
网络美术编辑岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
衍生品推进岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
数据分析岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
实时监控岗（2019届应届生）,上海期货交易所,异地招聘,,11-15
综合管理岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
数据分析岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
国际交流与合作岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
网络美术编辑岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
新闻舆情岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
衍生品推进岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
产品及市场运行维护岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
产品研究岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
交易管理岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
稽查与案件调查岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
实时监控岗（2019届应届生）,上海期货交易所,上海-浦东新区,,11-15
信用债做市交易经理,国海证券股份有限公司,深圳-福田区,2-3千/月,11-15
信用风险管理岗,太平养老保险股份有限公司,上海-浦东新区,,11-15
经济研究员,深圳市中投兴业有限公司,深圳-福田区,1.5-2万/月,11-15
留学生储备管理（带薪培训）,徽仁芃盈资产管理（上海）有限公司,上海-静安区,0.8-1万/月,11-15
高级投资经理,北京建广资产管理有限公司,北京-朝阳区,1.5-2.5万/月,11-15
C/C++研发工程师,“前程无忧”51job.com（上海）,上海-浦东新区,,11-15
策略研究组长,上海银科创展投资集团有限公司,上海-浦东新区,3-6万/月,11-15
策略研究员,上海银科创展投资集团有限公司,上海-浦东新区,2-3.5万/月,11-15
宏观研究组长,上海银科创展投资集团有限公司,上海-浦东新区,3-6万/月,11-15
宏观研究员,上海银科创展投资集团有限公司,上海-浦东新区,2-3.5万/月,11-15
行业研究员,上海银科创展投资集团有限公司,上海-浦东新区,2-3.5万/月,11-15
项目分析人员,广州九州塔苏斯展览有限公司,广州,1-1.5万/月,11-15
投融资项目经理,广州九州塔苏斯展览有限公司,广州,0.8-1万/月,11-15
反洗钱业务岗,招商证券股份有限公司,深圳-福田区,1.5-2万/月,11-15
量化与金融科技研究岗,招商证券股份有限公司,深圳-福田区,1-1.5万/月,11-15
债券交易岗,招商证券股份有限公司,深圳-福田区,20-40万/年,11-15
操作风险分析岗,招商证券股份有限公司,深圳-福田区,15-45万/年,11-15
UE设计高级经理,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
销售岗,招商证券股份有限公司,深圳-福田区,30-40万/年,11-15
销售岗,招商证券股份有限公司,异地招聘,30-40万/年,11-15
销售岗,招商证券股份有限公司,异地招聘,30-40万/年,11-15
大宗商品投资岗（自营方向）,招商证券股份有限公司,上海-浦东新区,40-50万/年,11-15
清算存管岗,招商证券股份有限公司,深圳-福田区,15-50万/年,11-15
资金交收岗,招商证券股份有限公司,深圳-福田区,15-50万/年,11-15
估值岗,招商证券股份有限公司,深圳-南山区,15-50万/年,11-15
WEB前端开发高级工程师,招商证券股份有限公司,深圳-南山区,15-50万/年,11-15
移动应用开发高级经理,招商证券股份有限公司,深圳-福田区,15-50万/年,11-15
交易程序开发与维护岗,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
经营分析岗,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
绩效管理岗,招商证券股份有限公司,深圳-福田区,30-50万/年,11-15
医药行业研究员,招商证券股份有限公司,深圳-福田区,1.5-2万/月,11-15
高级运营总监,招商证券股份有限公司,深圳-福田区,50-80万/年,11-15
机构销售,招商证券股份有限公司,上海-浦东新区,2-2.5万/月,11-15
宣传岗（声誉风险管理）,招商证券股份有限公司,深圳-福田区,20-40万/年,11-15
产品管理岗,招商证券股份有限公司,深圳-福田区,10-50万/年,11-15
培训与渠道管理岗,招商证券股份有限公司,深圳-福田区,10-50万/年,11-15
投资顾问岗,招商证券股份有限公司,深圳-福田区,10-50万/年,11-15
高级市场经理,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
高级市场经理,招商证券股份有限公司,异地招聘,20-50万/年,11-15
高级市场经理,招商证券股份有限公司,异地招聘,20-50万/年,11-15
研究与业务支持岗（法律方向）,招商证券股份有限公司,深圳-福田区,20-40万/年,11-15
研究与业务支持岗（法律方向）,招商证券股份有限公司,异地招聘,20-40万/年,11-15
金融高级软件工程师,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
金融高级数据工程师,招商证券股份有限公司,深圳-福田区,30-60万/年,11-15
投行项目负责人,招商证券股份有限公司,深圳-福田区,20-60万/年,11-15
投行项目负责人,招商证券股份有限公司,异地招聘,20-60万/年,11-15
投资总监（并购基金）,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
公募基金外包业务负责人,招商证券股份有限公司,深圳-福田区,1-1.5万/月,11-15
IT审计岗（高级审计经理）,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
IB片区管理岗,招商证券股份有限公司,深圳-福田区,1-1.5万/月,11-15
股权投资风险分析岗,招商证券股份有限公司,深圳-福田区,1-2万/月,11-15
产品经理岗,招商证券股份有限公司,深圳-福田区,1-1.5万/月,11-15
高级审计经理,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
法律合规管理岗,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
信息技术合规管理岗,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
党务工作岗,招商证券股份有限公司,深圳-福田区,10-15万/年,11-15
风险数据管理岗,招商证券股份有限公司,深圳-福田区,15-20万/年,11-15
产品经理,招商证券股份有限公司,深圳-福田区,15-20万/年,11-15
公募基金注册登记负责人,招商证券股份有限公司,深圳-福田区,15-45万/年,11-15
IT岗,招商证券股份有限公司,深圳-福田区,20-50万/年,11-15
信用风险分析岗,招商证券股份有限公司,深圳-福田区,15-50万/年,11-15
市场风险管理/分析岗,招商证券股份有限公司,深圳-福田区,15-50万/年,11-15
财富顾问岗,招商证券股份有限公司,深圳-福田区,10-50万/年,11-15
研究岗（资深信用研究员）,招商证券股份有限公司,北京-西城区,15-50万/年,11-15
注册登记岗,招商证券股份有限公司,深圳-福田区,15-50万/年,11-15
基金资管研究员（法务风控方向）,上海舒克资产管理有限公司,上海,2.5-3.5万/月,11-15
语音合成科学家 - 上海,字节跳动,上海,2.5-5万/月,11-15
项目运营高级经理,字节跳动,北京,1.5-3万/月,11-15
行业应用专家（政务行业应用研究中心）,杭州天翼智慧城市科技有限公司,杭州,30-40万/年,11-15
股票产品经理,字节跳动,北京,1.5-2.5万/月,11-15
高级投资经理,前海华业投资集团有限公司,广州-天河区,1.5-2万/月,11-15
计算机视觉算法资深工程师,字节跳动,深圳,2.5-4.5万/月,11-15
财政与税收高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
购买力高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
货币高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
经济增长高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
宏观经济高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
航运行业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
外汇高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
利率高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
PE产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
PTA产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
玉米产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
白糖产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
棉花产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
棕榈油产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
锌产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
镍产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
贵金属产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
铝产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
铜产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
橡胶产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
煤炭产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
黄大豆产业高级研究员（图书馆驻馆方向）,博芃投资咨询（香港）有限公司,上海-浦东新区,1.2-1.4万/月,11-15
